NUMERONODI 100
UMEROARCHI 4950
KMASSIMO 20
Soluzione iniziale:
Arco n 2697, nodi 33-58, costo 90
Arco n 2700, nodi 33-61, costo 56
Arco n 2765, nodi 34-60, costo 2
Arco n 2769, nodi 34-64, costo 66
Arco n 2837, nodi 35-67, costo 14
Arco n 2840, nodi 35-70, costo 7
Arco n 2886, nodi 36-52, costo 8
Arco n 2889, nodi 36-55, costo 23
Arco n 2968, nodi 37-71, costo 27
Arco n 2971, nodi 37-74, costo 79
Arco n 2973, nodi 37-76, costo 0
Arco n 3027, nodi 38-68, costo 66
Arco n 3082, nodi 39-62, costo 62
Arco n 3085, nodi 39-65, costo 17
Arco n 3160, nodi 40-80, costo 63
Arco n 3164, nodi 40-84, costo 54
Arco n 3222, nodi 41-83, costo 71
Arco n 3226, nodi 41-87, costo 68
Arco n 3275, nodi 42-78, costo 16
Arco n 3278, nodi 42-81, costo 6
Arco n 3317, nodi 43-63, costo 95
Arco n 3379, nodi 44-69, costo 1
Arco n 3382, nodi 44-72, costo 4
Arco n 3438, nodi 45-73, costo 90
Arco n 3507, nodi 46-88, costo 68
Arco n 3510, nodi 46-91, costo 11
Arco n 3549, nodi 47-77, costo 2
Arco n 3562, nodi 47-90, costo 28
Arco n 3565, nodi 47-93, costo 19
Arco n 3618, nodi 48-94, costo 83
Arco n 3621, nodi 48-97, costo 37
Arco n 3650, nodi 49-75, costo 77
Arco n 3654, nodi 49-79, costo 33
Arco n 3725, nodi 50-100, costo 12
Arco n 3804, nodi 52-82, costo 6
Arco n 3807, nodi 52-85, costo 86
Arco n 3911, nodi 54-96, costo 41
Arco n 3990, nodi 56-86, costo 84
Arco n 3993, nodi 56-89, costo 50
Arco n 4034, nodi 57-87, costo 0
Arco n 4039, nodi 57-92, costo 18
Arco n 4042, nodi 57-95, costo 7
Arco n 4088, nodi 58-99, costo 79
Arco n 4245, nodi 62-98, costo 71
Costo spanning tree: 4442

Iterazione 7:
Aggiunto arco 4258 e rimosso arco 3317.
Arco n 4, nodi 1-5, costo 0
Arco n 49, nodi 1-50, costo 53
Arco n 150, nodi 2-53, costo 88
Arco n 245, nodi 3-51, costo 58
Arco n 343, nodi 4-53, costo 85
Arco n 444, nodi 5-59, costo 67
Arco n 467, nodi 5-82, costo 0
Arco n 539, nodi 6-60, costo 1
Arco n 627, nodi 7-55, costo 81
Arco n 715, nodi 8-51, costo 6
Arco n 810, nodi 9-55, costo 48
Arco n 905, nodi 10-60, costo 74
Arco n 946, nodi 11-12, costo 15
Arco n 950, nodi 11-16, costo 88
Arco n 953, nodi 11-19, costo 85
Arco n 1035, nodi 12-13, costo 7
Arco n 1044, nodi 12-22, costo 56
Arco n 1088, nodi 12-66, costo 0
Arco n 1123, nodi 13-14, costo 14
Arco n 1126, nodi 13-17, costo 69
Arco n 1224, nodi 14-29, costo 64
Arco n 1312, nodi 15-32, costo 37
Arco n 1315, nodi 15-35, costo 1
Arco n 1384, nodi 16-20, costo 78
Arco n 1472, nodi 17-25, costo 76
Arco n 1475, nodi 17-28, costo 78
Arco n 1554, nodi 18-25, costo 14
Arco n 1560, nodi 18-31, costo 48
Arco n 1567, nodi 18-38, costo 29
Arco n 1652, nodi 19-42, costo 81
Arco n 1655, nodi 19-45, costo 47
Arco n 1714, nodi 20-24, costo 78
Arco n 1717, nodi 20-27, costo 71
Arco n 1795, nodi 21-26, costo 84
Arco n 1799, nodi 21-30, costo 64
Arco n 1802, nodi 21-33, costo 6
Arco n 1884, nodi 22-37, costo 48
Arco n 1887, nodi 22-40, costo 17
Arco n 1949, nodi 23-25, costo 35
Arco n 1968, nodi 23-44, costo 44
Arco n 2034, nodi 24-34, costo 30
Arco n 2047, nodi 24-47, costo 84
Arco n 2197, nodi 26-48, costo 54
Arco n 2272, nodi 27-50, costo 3
Arco n 2275, nodi 27-53, costo 53
Arco n 2337, nodi 28-43, costo 71
Arco n 2351, nodi 28-57, costo 90
Arco n 2416, nodi 29-51, costo 33
Arco n 2419, nodi 29-54, costo 26
Arco n 2471, nodi 30-36, costo 14
Arco n 2481, nodi 30-46, costo 89
Arco n 2543, nodi 31-39, costo 74
Arco n 2553, nodi 31-49, costo 73
Arco n 2628, nodi 32-56, costo 15
Arco n 2631, nodi 32-59, costo 41
Arco n 2697, nodi 33-58, costo 90
Arco n 2700, nodi 33-61, costo 56
Arco n 2765, nodi 34-60, costo 2
Arco n 2769, nodi 34-64, costo 66
Arco n 2837, nodi 35-67, costo 14
Arco n 2840, nodi 35-70, costo 7
Arco n 2886, nodi 36-52, costo 8
Arco n 2889, nodi 36-55, costo 23
Arco n 2968, nodi 37-71, costo 27
Arco n 2971, nodi 37-74, costo 79
Arco n 2973, nodi 37-76, costo 0
Arco n 3027, nodi 38-68, costo 66
Arco n 3082, nodi 39-62, costo 62
Arco n 3085, nodi 39-65, costo 17
Arco n 3160, nodi 40-80, costo 63
Arco n 3164, nodi 40-84, costo 54
Arco n 3222, nodi 41-83, costo 71
Arco n 3226, nodi 41-87, costo 68
Arco n 3275, nodi 42-78, costo 16
Arco n 3278, nodi 42-81, costo 6
Arco n 3379, nodi 44-69, costo 1
Arco n 3382, nodi 44-72, costo 4
Arco n 3438, nodi 45-73, costo 90
Arco n 3507, nodi 46-88, costo 68
Arco n 3510, nodi 46-91, costo 11
Arco n 3549, nodi 47-77, costo 2
Arco n 3562, nodi 47-90, costo 28
Arco n 3565, nodi 47-93, costo 19
Arco n 3618, nodi 48-94, costo 83
Arco n 3621, nodi 48-97, costo 37
Arco n 3650, nodi 49-75, costo 77
Arco n 3654, nodi 49-79, costo 33
Arco n 3725, nodi 50-100, costo 12
Arco n 3804, nodi 52-82, costo 6
Arco n 3807, nodi 52-85, costo 86
Arco n 3911, nodi 54-96, costo 41
Arco n 3990, nodi 56-86, costo 84
Arco n 3993, nodi 56-89, costo 50
Arco n 4034, nodi 57-87, costo 0
Arco n 4039, nodi 57-92, costo 18
Arco n 4042, nodi 57-95, costo 7
Arco n 4088, nodi 58-99, costo 79
Arco n 4245, nodi 62-98, costo 71
Arco n 4258, nodi 63-74, costo 5
Costo spanning tree: 4352

Iterazione 8:
Aggiunto arco 3206 e rimosso arco 2351.
Arco n 4, nodi 1-5, costo 0
Arco n 49, nodi 1-50, costo 53
Arco n 150, nodi 2-53, costo 88
Arco n 245, nodi 3-51, costo 58
Arco n 343, nodi 4-53, costo 85
Arco n 444, nodi 5-59, costo 67
Arco n 467, nodi 5-82, costo 0
Arco n 539, nodi 6-60, costo 1
Arco n 627, nodi 7-55, costo 81
Arco n 715, nodi 8-51, costo 6
Arco n 810, nodi 9-55, costo 48
Arco n 905, nodi 10-60, costo 74
Arco n 946, nodi 11-12, costo 15
Arco n 950, nodi 11-16, costo 88
Arco n 953, nodi 11-19, costo 85
Arco n 1035, nodi 12-13, costo 7
Arco n 1044, nodi 12-22, costo 56
Arco n 1088, nodi 12-66, costo 0
Arco n 1123, nodi 13-14, costo 14
Arco n 1126, nodi 13-17, costo 69
Arco n 1224, nodi 14-29, costo 64
Arco n 1312, nodi 15-32, costo 37
Arco n 1315, nodi 15-35, costo 1
Arco n 1384, nodi 16-20, costo 78
Arco n 1472, nodi 17-25, costo 76
Arco n 1475, nodi 17-28, costo 78
Arco n 1554, nodi 18-25, costo 14
Arco n 1560, nodi 18-31, costo 48
Arco n 1567, nodi 18-38, costo 29
Arco n 1652, nodi 19-42, costo 81
Arco n 1655, nodi 19-45, costo 47
Arco n 1714, nodi 20-24, costo 78
Arco n 1717, nodi 20-27, costo 71
Arco n 1795, nodi 21-26, costo 84
Arco n 1799, nodi 21-30, costo 64
Arco n 1802, nodi 21-33, costo 6
Arco n 1884, nodi 22-37, costo 48
Arco n 1887, nodi 22-40, costo 17
Arco n 1949, nodi 23-25, costo 35
Arco n 1968, nodi 23-44, costo 44
Arco n 2034, nodi 24-34, costo 30
Arco n 2047, nodi 24-47, costo 84
Arco n 2197, nodi 26-48, costo 54
Arco n 2272, nodi 27-50, costo 3
Arco n 2275, nodi 27-53, costo 53
Arco n 2337, nodi 28-43, costo 71
Arco n 2416, nodi 29-51, costo 33
Arco n 2419, nodi 29-54, costo 26
Arco n 2471, nodi 30-36, costo 14
Arco n 2481, nodi 30-46, costo 89
Arco n 2543, nodi 31-39, costo 74
Arco n 2553, nodi 31-49, costo 73
Arco n 2628, nodi 32-56, costo 15
Arco n 2631, nodi 32-59, costo 41
Arco n 2697, nodi 33-58, costo 90
Arco n 2700, nodi 33-61, costo 56
Arco n 2765, nodi 34-60, costo 2
Arco n 2769, nodi 34-64, costo 66
Arco n 2837, nodi 35-67, costo 14
Arco n 2840, nodi 35-70, costo 7
Arco n 2886, nodi 36-52, costo 8
Arco n 2889, nodi 36-55, costo 23
Arco n 2968, nodi 37-71, costo 27
Arco n 2971, nodi 37-74, costo 79
Arco n 2973, nodi 37-76, costo 0
Arco n 3027, nodi 38-68, costo 66
Arco n 3082, nodi 39-62, costo 62
Arco n 3085, nodi 39-65, costo 17
Arco n 3160, nodi 40-80, costo 63
Arco n 3164, nodi 40-84, costo 54
Arco n 3206, nodi 41-67, costo 0
Arco n 3222, nodi 41-83, costo 71
Arco n 3226, nodi 41-87, costo 68
Arco n 3275, nodi 42-78, costo 16
Arco n 3278, nodi 42-81, costo 6
Arco n 3379, nodi 44-69, costo 1
Arco n 3382, nodi 44-72, costo 4
Arco n 3438, nodi 45-73, costo 90
Arco n 3507, nodi 46-88, costo 68
Arco n 3510, nodi 46-91, costo 11
Arco n 3549, nodi 47-77, costo 2
Arco n 3562, nodi 47-90, costo 28
Arco n 3565, nodi 47-93, costo 19
Arco n 3618, nodi 48-94, costo 83
Arco n 3621, nodi 48-97, costo 37
Arco n 3650, nodi 49-75, costo 77
Arco n 3654, nodi 49-79, costo 33
Arco n 3725, nodi 50-100, costo 12
Arco n 3804, nodi 52-82, costo 6
Arco n 3807, nodi 52-85, costo 86
Arco n 3911, nodi 54-96, costo 41
Arco n 3990, nodi 56-86, costo 84
Arco n 3993, nodi 56-89, costo 50
Arco n 4034, nodi 57-87, costo 0
Arco n 4039, nodi 57-92, costo 18
Arco n 4042, nodi 57-95, costo 7
Arco n 4088, nodi 58-99, costo 79
Arco n 4245, nodi 62-98, costo 71
Arco n 4258, nodi 63-74, costo 5
Costo spanning tree: 4262

Iterazione 9:
Aggiunto arco 2603 e rimosso arco 2697.
Arco n 4, nodi 1-5, costo 0
Arco n 49, nodi 1-50, costo 53
Arco n 150, nodi 2-53, costo 88
Arco n 245, nodi 3-51, costo 58
Arco n 343, nodi 4-53, costo 85
Arco n 444, nodi 5-59, costo 67
Arco n 467, nodi 5-82, costo 0
Arco n 539, nodi 6-60, costo 1
Arco n 627, nodi 7-55, costo 81
Arco n 715, nodi 8-51, costo 6
Arco n 810, nodi 9-55, costo 48
Arco n 905, nodi 10-60, costo 74
Arco n 946, nodi 11-12, costo 15
Arco n 950, nodi 11-16, costo 88
Arco n 953, nodi 11-19, costo 85
Arco n 1035, nodi 12-13, costo 7
Arco n 1044, nodi 12-22, costo 56
Arco n 1088, nodi 12-66, costo 0
Arco n 1123, nodi 13-14, costo 14
Arco n 1126, nodi 13-17, costo 69
Arco n 1224, nodi 14-29, costo 64
Arco n 1312, nodi 15-32, costo 37
Arco n 1315, nodi 15-35, costo 1
Arco n 1384, nodi 16-20, costo 78
Arco n 1472, nodi 17-25, costo 76
Arco n 1475, nodi 17-28, costo 78
Arco n 1554, nodi 18-25, costo 14
Arco n 1560, nodi 18-31, costo 48
Arco n 1567, nodi 18-38, costo 29
Arco n 1652, nodi 19-42, costo 81
Arco n 1655, nodi 19-45, costo 47
Arco n 1714, nodi 20-24, costo 78
Arco n 1717, nodi 20-27, costo 71
Arco n 1795, nodi 21-26, costo 84
Arco n 1799, nodi 21-30, costo 64
Arco n 1802, nodi 21-33, costo 6
Arco n 1884, nodi 22-37, costo 48
Arco n 1887, nodi 22-40, costo 17
Arco n 1949, nodi 23-25, costo 35
Arco n 1968, nodi 23-44, costo 44
Arco n 2034, nodi 24-34, costo 30
Arco n 2047, nodi 24-47, costo 84
Arco n 2197, nodi 26-48, costo 54
Arco n 2272, nodi 27-50, costo 3
Arco n 2275, nodi 27-53, costo 53
Arco n 2337, nodi 28-43, costo 71
Arco n 2416, nodi 29-51, costo 33
Arco n 2419, nodi 29-54, costo 26
Arco n 2471, nodi 30-36, costo 14
Arco n 2481, nodi 30-46, costo 89
Arco n 2543, nodi 31-39, costo 74
Arco n 2553, nodi 31-49, costo 73
Arco n 2603, nodi 31-99, costo 0
Arco n 2628, nodi 32-56, costo 15
Arco n 2631, nodi 32-59, costo 41
Arco n 2700, nodi 33-61, costo 56
Arco n 2765, nodi 34-60, costo 2
Arco n 2769, nodi 34-64, costo 66
Arco n 2837, nodi 35-67, costo 14
Arco n 2840, nodi 35-70, costo 7
Arco n 2886, nodi 36-52, costo 8
Arco n 2889, nodi 36-55, costo 23
Arco n 2968, nodi 37-71, costo 27
Arco n 2971, nodi 37-74, costo 79
Arco n 2973, nodi 37-76, costo 0
Arco n 3027, nodi 38-68, costo 66
Arco n 3082, nodi 39-62, costo 62
Arco n 3085, nodi 39-65, costo 17
Arco n 3160, nodi 40-80, costo 63
Arco n 3164, nodi 40-84, costo 54
Arco n 3206, nodi 41-67, costo 0
Arco n 3222, nodi 41-83, costo 71
Arco n 3226, nodi 41-87, costo 68
Arco n 3275, nodi 42-78, costo 16
Arco n 3278, nodi 42-81, costo 6
Arco n 3379, nodi 44-69, costo 1
Arco n 3382, nodi 44-72, costo 4
Arco n 3438, nodi 45-73, costo 90
Arco n 3507, nodi 46-88, costo 68
Arco n 3510, nodi 46-91, costo 11
Arco n 3549, nodi 47-77, costo 2
Arco n 3562, nodi 47-90, costo 28
Arco n 3565, nodi 47-93, costo 19
Arco n 3618, nodi 48-94, costo 83
Arco n 3621, nodi 48-97, costo 37
Arco n 3650, nodi 49-75, costo 77
Arco n 3654, nodi 49-79, costo 33
Arco n 3725, nodi 50-100, costo 12
Arco n 3804, nodi 52-82, costo 6
Arco n 3807, nodi 52-85, costo 86
Arco n 3911, nodi 54-96, costo 41
Arco n 3990, nodi 56-86, costo 84
Arco n 3993, nodi 56-89, costo 50
Arco n 4034, nodi 57-87, costo 0
Arco n 4039, nodi 57-92, costo 18
Arco n 4042, nodi 57-95, costo 7
Arco n 4088, nodi 58-99, costo 79
Arco n 4245, nodi 62-98, costo 71
Arco n 4258, nodi 63-74, costo 5
Costo spanning tree: 4172

Iterazione 10:
Aggiunto arco 4488 e rimosso arco 3438.
Arco n 4, nodi 1-5, costo 0
Arco n 49, nodi 1-50, costo 53
Arco n 150, nodi 2-53, costo 88
Arco n 245, nodi 3-51, costo 58
Arco n 343, nodi 4-53, costo 85
Arco n 444, nodi 5-59, costo 67
Arco n 467, nodi 5-82, costo 0
Arco n 539, nodi 6-60, costo 1
Arco n 627, nodi 7-55, costo 81
Arco n 715, nodi 8-51, costo 6
Arco n 810, nodi 9-55, costo 48
Arco n 905, nodi 10-60, costo 74
Arco n 946, nodi 11-12, costo 15
Arco n 950, nodi 11-16, costo 88
Arco n 953, nodi 11-19, costo 85
Arco n 1035, nodi 12-13, costo 7
Arco n 1044, nodi 12-22, costo 56
Arco n 1088, nodi 12-66, costo 0
Arco n 1123, nodi 13-14, costo 14
Arco n 1126, nodi 13-17, costo 69
Arco n 1224, nodi 14-29, costo 64
Arco n 1312, nodi 15-32, costo 37
Arco n 1315, nodi 15-35, costo 1
Arco n 1384, nodi 16-20, costo 78
Arco n 1472, nodi 17-25, costo 76
Arco n 1475, nodi 17-28, costo 78
Arco n 1554, nodi 18-25, costo 14
Arco n 1560, nodi 18-31, costo 48
Arco n 1567, nodi 18-38, costo 29
Arco n 1652, nodi 19-42, costo 81
Arco n 1655, nodi 19-45, costo 47
Arco n 1714, nodi 20-24, costo 78
Arco n 1717, nodi 20-27, costo 71
Arco n 1795, nodi 21-26, costo 84
Arco n 1799, nodi 21-30, costo 64
Arco n 1802, nodi 21-33, costo 6
Arco n 1884, nodi 22-37, costo 48
Arco n 1887, nodi 22-40, costo 17
Arco n 1949, nodi 23-25, costo 35
Arco n 1968, nodi 23-44, costo 44
Arco n 2034, nodi 24-34, costo 30
Arco n 2047, nodi 24-47, costo 84
Arco n 2197, nodi 26-48, costo 54
Arco n 2272, nodi 27-50, costo 3
Arco n 2275, nodi 27-53, costo 53
Arco n 2337, nodi 28-43, costo 71
Arco n 2416, nodi 29-51, costo 33
Arco n 2419, nodi 29-54, costo 26
Arco n 2471, nodi 30-36, costo 14
Arco n 2481, nodi 30-46, costo 89
Arco n 2543, nodi 31-39, costo 74
Arco n 2553, nodi 31-49, costo 73
Arco n 2603, nodi 31-99, costo 0
Arco n 2628, nodi 32-56, costo 15
Arco n 2631, nodi 32-59, costo 41
Arco n 2700, nodi 33-61, costo 56
Arco n 2765, nodi 34-60, costo 2
Arco n 2769, nodi 34-64, costo 66
Arco n 2837, nodi 35-67, costo 14
Arco n 2840, nodi 35-70, costo 7
Arco n 2886, nodi 36-52, costo 8
Arco n 2889, nodi 36-55, costo 23
Arco n 2968, nodi 37-71, costo 27
Arco n 2971, nodi 37-74, costo 79
Arco n 2973, nodi 37-76, costo 0
Arco n 3027, nodi 38-68, costo 66
Arco n 3082, nodi 39-62, costo 62
Arco n 3085, nodi 39-65, costo 17
Arco n 3160, nodi 40-80, costo 63
Arco n 3164, nodi 40-84, costo 54
Arco n 3206, nodi 41-67, costo 0
Arco n 3222, nodi 41-83, costo 71
Arco n 3226, nodi 41-87, costo 68
Arco n 3275, nodi 42-78, costo 16
Arco n 3278, nodi 42-81, costo 6
Arco n 3379, nodi 44-69, costo 1
Arco n 3382, nodi 44-72, costo 4
Arco n 3507, nodi 46-88, costo 68
Arco n 3510, nodi 46-91, costo 11
Arco n 3549, nodi 47-77, costo 2
Arco n 3562, nodi 47-90, costo 28
Arco n 3565, nodi 47-93, costo 19
Arco n 3618, nodi 48-94, costo 83
Arco n 3621, nodi 48-97, costo 37
Arco n 3650, nodi 49-75, costo 77
Arco n 3654, nodi 49-79, costo 33
Arco n 3725, nodi 50-100, costo 12
Arco n 3804, nodi 52-82, costo 6
Arco n 3807, nodi 52-85, costo 86
Arco n 3911, nodi 54-96, costo 41
Arco n 3990, nodi 56-86, costo 84
Arco n 3993, nodi 56-89, costo 50
Arco n 4034, nodi 57-87, costo 0
Arco n 4039, nodi 57-92, costo 18
Arco n 4042, nodi 57-95, costo 7
Arco n 4088, nodi 58-99, costo 79
Arco n 4245, nodi 62-98, costo 71
Arco n 4258, nodi 63-74, costo 5
Arco n 4488, nodi 70-73, costo 0
Costo spanning tree: 4082

Iterazione 11:
Aggiunto arco 980 e rimosso arco 2481.
Arco n 4, nodi 1-5, costo 0
Arco n 49, nodi 1-50, costo 53
Arco n 150, nodi 2-53, costo 88
Arco n 245, nodi 3-51, costo 58
Arco n 343, nodi 4-53, costo 85
Arco n 444, nodi 5-59, costo 67
Arco n 467, nodi 5-82, costo 0
Arco n 539, nodi 6-60, costo 1
Arco n 627, nodi 7-55, costo 81
Arco n 715, nodi 8-51, costo 6
Arco n 810, nodi 9-55, costo 48
Arco n 905, nodi 10-60, costo 74
Arco n 946, nodi 11-12, costo 15
Arco n 950, nodi 11-16, costo 88
Arco n 953, nodi 11-19, costo 85
Arco n 980, nodi 11-46, costo 0
Arco n 1035, nodi 12-13, costo 7
Arco n 1044, nodi 12-22, costo 56
Arco n 1088, nodi 12-66, costo 0
Arco n 1123, nodi 13-14, costo 14
Arco n 1126, nodi 13-17, costo 69
Arco n 1224, nodi 14-29, costo 64
Arco n 1312, nodi 15-32, costo 37
Arco n 1315, nodi 15-35, costo 1
Arco n 1384, nodi 16-20, costo 78
Arco n 1472, nodi 17-25, costo 76
Arco n 1475, nodi 17-28, costo 78
Arco n 1554, nodi 18-25, costo 14
Arco n 1560, nodi 18-31, costo 48
Arco n 1567, nodi 18-38, costo 29
Arco n 1652, nodi 19-42, costo 81
Arco n 1655, nodi 19-45, costo 47
Arco n 1714, nodi 20-24, costo 78
Arco n 1717, nodi 20-27, costo 71
Arco n 1795, nodi 21-26, costo 84
Arco n 1799, nodi 21-30, costo 64
Arco n 1802, nodi 21-33, costo 6
Arco n 1884, nodi 22-37, costo 48
Arco n 1887, nodi 22-40, costo 17
Arco n 1949, nodi 23-25, costo 35
Arco n 1968, nodi 23-44, costo 44
Arco n 2034, nodi 24-34, costo 30
Arco n 2047, nodi 24-47, costo 84
Arco n 2197, nodi 26-48, costo 54
Arco n 2272, nodi 27-50, costo 3
Arco n 2275, nodi 27-53, costo 53
Arco n 2337, nodi 28-43, costo 71
Arco n 2416, nodi 29-51, costo 33
Arco n 2419, nodi 29-54, costo 26
Arco n 2471, nodi 30-36, costo 14
Arco n 2543, nodi 31-39, costo 74
Arco n 2553, nodi 31-49, costo 73
Arco n 2603, nodi 31-99, costo 0
Arco n 2628, nodi 32-56, costo 15
Arco n 2631, nodi 32-59, costo 41
Arco n 2700, nodi 33-61, costo 56
Arco n 2765, nodi 34-60, costo 2
Arco n 2769, nodi 34-64, costo 66
Arco n 2837, nodi 35-67, costo 14
Arco n 2840, nodi 35-70, costo 7
Arco n 2886, nodi 36-52, costo 8
Arco n 2889, nodi 36-55, costo 23
Arco n 2968, nodi 37-71, costo 27
Arco n 2971, nodi 37-74, costo 79
Arco n 2973, nodi 37-76, costo 0
Arco n 3027, nodi 38-68, costo 66
Arco n 3082, nodi 39-62, costo 62
Arco n 3085, nodi 39-65, costo 17
Arco n 3160, nodi 40-80, costo 63
Arco n 3164, nodi 40-84, costo 54
Arco n 3206, nodi 41-67, costo 0
Arco n 3222, nodi 41-83, costo 71
Arco n 3226, nodi 41-87, costo 68
Arco n 3275, nodi 42-78, costo 16
Arco n 3278, nodi 42-81, costo 6
Arco n 3379, nodi 44-69, costo 1
Arco n 3382, nodi 44-72, costo 4
Arco n 3507, nodi 46-88, costo 68
Arco n 3510, nodi 46-91, costo 11
Arco n 3549, nodi 47-77, costo 2
Arco n 3562, nodi 47-90, costo 28
Arco n 3565, nodi 47-93, costo 19
Arco n 3618, nodi 48-94, costo 83
Arco n 3621, nodi 48-97, costo 37
Arco n 3650, nodi 49-75, costo 77
Arco n 3654, nodi 49-79, costo 33
Arco n 3725, nodi 50-100, costo 12
Arco n 3804, nodi 52-82, costo 6
Arco n 3807, nodi 52-85, costo 86
Arco n 3911, nodi 54-96, costo 41
Arco n 3990, nodi 56-86, costo 84
Arco n 3993, nodi 56-89, costo 50
Arco n 4034, nodi 57-87, costo 0
Arco n 4039, nodi 57-92, costo 18
Arco n 4042, nodi 57-95, costo 7
Arco n 4088, nodi 58-99, costo 79
Arco n 4245, nodi 62-98, costo 71
Arco n 4258, nodi 63-74, costo 5
Arco n 4488, nodi 70-73, costo 0
Costo spanning tree: 3993

Iterazione 12:
Aggiunto arco 3766 e rimosso arco 950.
Arco n 4, nodi 1-5, costo 0
Arco n 49, nodi 1-50, costo 53
Arco n 150, nodi 2-53, costo 88
Arco n 245, nodi 3-51, costo 58
Arco n 343, nodi 4-53, costo 85
Arco n 444, nodi 5-59, costo 67
Arco n 467, nodi 5-82, costo 0
Arco n 539, nodi 6-60, costo 1
Arco n 627, nodi 7-55, costo 81
Arco n 715, nodi 8-51, costo 6
Arco n 810, nodi 9-55, costo 48
Arco n 905, nodi 10-60, costo 74
Arco n 946, nodi 11-12, costo 15
Arco n 953, nodi 11-19, costo 85
Arco n 980, nodi 11-46, costo 0
Arco n 1035, nodi 12-13, costo 7
Arco n 1044, nodi 12-22, costo 56
Arco n 1088, nodi 12-66, costo 0
Arco n 1123, nodi 13-14, costo 14
Arco n 1126, nodi 13-17, costo 69
Arco n 1224, nodi 14-29, costo 64
Arco n 1312, nodi 15-32, costo 37
Arco n 1315, nodi 15-35, costo 1
Arco n 1384, nodi 16-20, costo 78
Arco n 1472, nodi 17-25, costo 76
Arco n 1475, nodi 17-28, costo 78
Arco n 1554, nodi 18-25, costo 14
Arco n 1560, nodi 18-31, costo 48
Arco n 1567, nodi 18-38, costo 29
Arco n 1652, nodi 19-42, costo 81
Arco n 1655, nodi 19-45, costo 47
Arco n 1714, nodi 20-24, costo 78
Arco n 1717, nodi 20-27, costo 71
Arco n 1795, nodi 21-26, costo 84
Arco n 1799, nodi 21-30, costo 64
Arco n 1802, nodi 21-33, costo 6
Arco n 1884, nodi 22-37, costo 48
Arco n 1887, nodi 22-40, costo 17
Arco n 1949, nodi 23-25, costo 35
Arco n 1968, nodi 23-44, costo 44
Arco n 2034, nodi 24-34, costo 30
Arco n 2047, nodi 24-47, costo 84
Arco n 2197, nodi 26-48, costo 54
Arco n 2272, nodi 27-50, costo 3
Arco n 2275, nodi 27-53, costo 53
Arco n 2337, nodi 28-43, costo 71
Arco n 2416, nodi 29-51, costo 33
Arco n 2419, nodi 29-54, costo 26
Arco n 2471, nodi 30-36, costo 14
Arco n 2543, nodi 31-39, costo 74
Arco n 2553, nodi 31-49, costo 73
Arco n 2603, nodi 31-99, costo 0
Arco n 2628, nodi 32-56, costo 15
Arco n 2631, nodi 32-59, costo 41
Arco n 2700, nodi 33-61, costo 56
Arco n 2765, nodi 34-60, costo 2
Arco n 2769, nodi 34-64, costo 66
Arco n 2837, nodi 35-67, costo 14
Arco n 2840, nodi 35-70, costo 7
Arco n 2886, nodi 36-52, costo 8
Arco n 2889, nodi 36-55, costo 23
Arco n 2968, nodi 37-71, costo 27
Arco n 2971, nodi 37-74, costo 79
Arco n 2973, nodi 37-76, costo 0
Arco n 3027, nodi 38-68, costo 66
Arco n 3082, nodi 39-62, costo 62
Arco n 3085, nodi 39-65, costo 17
Arco n 3160, nodi 40-80, costo 63
Arco n 3164, nodi 40-84, costo 54
Arco n 3206, nodi 41-67, costo 0
Arco n 3222, nodi 41-83, costo 71
Arco n 3226, nodi 41-87, costo 68
Arco n 3275, nodi 42-78, costo 16
Arco n 3278, nodi 42-81, costo 6
Arco n 3379, nodi 44-69, costo 1
Arco n 3382, nodi 44-72, costo 4
Arco n 3507, nodi 46-88, costo 68
Arco n 3510, nodi 46-91, costo 11
Arco n 3549, nodi 47-77, costo 2
Arco n 3562, nodi 47-90, costo 28
Arco n 3565, nodi 47-93, costo 19
Arco n 3618, nodi 48-94, costo 83
Arco n 3621, nodi 48-97, costo 37
Arco n 3650, nodi 49-75, costo 77
Arco n 3654, nodi 49-79, costo 33
Arco n 3725, nodi 50-100, costo 12
Arco n 3766, nodi 51-92, costo 0
Arco n 3804, nodi 52-82, costo 6
Arco n 3807, nodi 52-85, costo 86
Arco n 3911, nodi 54-96, costo 41
Arco n 3990, nodi 56-86, costo 84
Arco n 3993, nodi 56-89, costo 50
Arco n 4034, nodi 57-87, costo 0
Arco n 4039, nodi 57-92, costo 18
Arco n 4042, nodi 57-95, costo 7
Arco n 4088, nodi 58-99, costo 79
Arco n 4245, nodi 62-98, costo 71
Arco n 4258, nodi 63-74, costo 5
Arco n 4488, nodi 70-73, costo 0
Costo spanning tree: 3905

Iterazione 13:
Aggiunto arco 157 e rimosso arco 150.
Arco n 4, nodi 1-5, costo 0
Arco n 49, nodi 1-50, costo 53
Arco n 157, nodi 2-60, costo 0
Arco n 245, nodi 3-51, costo 58
Arco n 343, nodi 4-53, costo 85
Arco n 444, nodi 5-59, costo 67
Arco n 467, nodi 5-82, costo 0
Arco n 539, nodi 6-60, costo 1
Arco n 627, nodi 7-55, costo 81
Arco n 715, nodi 8-51, costo 6
Arco n 810, nodi 9-55, costo 48
Arco n 905, nodi 10-60, costo 74
Arco n 946, nodi 11-12, costo 15
Arco n 953, nodi 11-19, costo 85
Arco n 980, nodi 11-46, costo 0
Arco n 1035, nodi 12-13, costo 7
